General Index,Foodstuffs,Cereals and cereal products,Meat and Poultry,Fish and crustaceans,Milk and dairy products,Eggs,Cooking oil and fats,Fresh vegetables,Preserved and canned vegetables,Legumes and tubers,Fresh fruits,Preserved and canned fruits,"Nuts, peanuts, seeds",Sugars and sugar preparations,Beverages,"Foodstuffs, other",Tobacco,Out-of-home meals,"Fabrics, clothing and footwear",Mens fabrics,Womens fabrics,Mens apparel,Womens apparel,Tailoring,Footwear,House and related items,Home repairs,Rents,Water supply expenditure,Fuel and Power,Home furniture,Furniture and carpet,Home furnishings,Small home appliances,kitchenhouse & tabletualis,Household small items,Home services,Basic home appliances,Medical care,Medical care expenses,Other medical expenses,Medicines,Transport and telecommunications,Private transport means,Operation of private transport means,Public transport fees,Telecommunications and related costs,Education and entertainment,Entertainment expenses,Education expenses,Entertainment devices,Other expenses and services,Personal hygiene and care items,Personal goods,Other expenses and services
 99.3, 109.9, 97.5, 100.2, 101.0, 92.8, 93.7, 94.2, 119.4, 100.0, 75.3, 96.2, 102.8, 106.7, 107.3, 100.3, 97.9, 100.0, 99.7, 107.7, 85.0, 98.1, 96.4, 96.5, 99.4, 109.7, 100.8, 115.0, 99.8, 100.0, 100.9, 104.7, 97.2, 92.7, 96.7, 103.6, 101.2, 109.9, 97.0, 113.1, 104.7, 100.0, 100.0, 111.1, 92.9, 101.3, 96.0, 94.4, 105.6, 104.0, 97.3, 90.7, 225.1, 98.3, 104.7, 97.8
 99.3, 109.9, 97.5, 100.2, 101.0, 92.8, 93.7, 94.2, 119.2, 100.0, 75.3, 96.2, 102.8, 106.7, 107.0, 100.3, 97.9, 100.0, 99.7, 107.7, 85.0, 98.1, 96.4, 96.5, 99.4, 109.7, 100.8, 115.0, 99.8, 100.0, 100.9, 104.7, 97.2, 92.7, 96.7, 103.6, 101.2, 109.9, 97.0, 113.1, 104.7, 100.0, 100.0, 111.1, 92.9, 101.3, 96.0, 94.4, 105.6, 104.0, 97.3, 90.7, 225.1, 98.3, 104.7, 97.8
 98.2, 106.7, 96.7, 92.1, 104.8, 85.2, 117.2, 88.2, 106.1, 96.2, 131.7, 97.6, 100.4, 95.4, 96.3, 100.5, 101.4, 104.3, 98.5, 105.7, 101.0, 90.6, 99.5, 94.6, 100.5, 100.4, 99.8, 100.0, 99.6, 100.0, 101.3, 101.9, 94.4, 98.3, 95.2, 98.3, 98.2, 102.7, 96.5, 112.2, 102.5, 100.0, 106.3, 116.6, 96.8, 98.3, 109.8, 94.8, 117.7, 86.9, 103.1, 95.6, 172.0, 101.8, 97.4, 99.6
 98.2, 106.6, 96.7, 92.1, 104.4, 85.2, 117.2, 88.2, 104.5, 96.2, 131.7, 98.1, 100.4, 95.4, 96.3, 100.5, 101.4, 104.3, 98.5, 105.7, 101.0, 90.6, 99.5, 94.6, 100.5, 100.4, 99.8, 100.0, 99.6, 100.0, 101.3, 101.9, 94.4, 98.3, 95.2, 98.3, 98.2, 102.7, 96.5, 112.2, 102.5, 100.0, 106.3, 116.6, 96.8, 98.3, 109.8, 94.8, 117.7, 86.9, 103.1, 95.6, 172.0, 101.8, 97.4, 99.6
 96.7, 107.5, 97.8, 98.1, 94.0, 92.0, 95.2, 88.0, 111.2, 100.0, 125.2, 95.9, 99.6, 98.7, 105.4, 101.4, 91.0, 100.0, 99.0, 104.5, 71.0, 102.1, 100.5, 98.0, 96.9, 83.8, 99.6, 92.3, 99.8, 100.0, 102.0, 96.0, 87.7, 87.7, 100.0, 107.4, 99.7, 105.9, 93.5, 101.8, 99.4, 100.0, 95.7, 117.5, 93.4, 97.6, 101.2, 94.3, 123.0, 91.4, 101.0, 86.1, 177.0, 103.8, 90.9, 95.3
 96.7, 107.4, 97.8, 98.1, 92.6, 92.0, 95.2, 88.0, 110.1, 100.0, 125.2, 95.8, 99.6, 98.3, 105.3, 101.2, 91.0, 100.0, 99.0, 104.5, 71.0, 102.1, 100.5, 98.0, 96.9, 83.8, 99.6, 92.3, 99.8, 100.0, 102.0, 96.0, 87.7, 87.7, 100.0, 107.4, 99.7, 105.9, 93.5, 101.8, 99.4, 100.0, 95.7, 117.5, 93.4, 97.6, 101.2, 94.3, 123.0, 91.4, 101.0, 86.1, 177.0, 103.8, 90.9, 95.3
 97.4, 105.9, 97.6, 101.1, 90.2, 88.8, 99.2, 86.9, 89.6, 101.8, 105.0, 95.9, 99.6, 101.8, 109.2, 96.6, 107.8, 100.0, 98.8, 86.2, 99.0, 91.2, 92.5, 74.2, 96.7, 77.1, 99.9, 95.4, 99.9, 100.0, 100.9, 104.2, 96.6, 89.3, 95.4, 98.3, 96.8, 103.7, 98.2, 105.1, 98.5, 102.4, 99.0, 106.1, 89.5, 98.1, 104.5, 94.3, 108.7, 107.2, 103.1, 90.7, 163.7, 100.9, 96.0, 101.1
 97.2, 105.3, 97.6, 100.2, 90.6, 88.8, 99.2, 86.9, 84.7, 101.8, 102.0, 95.4, 99.7, 101.8, 109.2, 96.6, 107.8, 100.0, 98.8, 86.2, 99.0, 91.2, 92.5, 74.2, 96.7, 77.1, 99.9, 95.4, 99.9, 100.0, 100.9, 104.2, 96.6, 89.3, 95.4, 98.3, 96.8, 103.7, 98.2, 105.1, 98.5, 102.4, 99.0, 106.1, 89.5, 98.1, 104.5, 94.3, 108.7, 107.2, 103.1, 90.7, 163.7, 100.9, 96.0, 101.1
 98.7, 110.5, 97.3, 97.7, 111.1, 95.0, 91.2, 92.3, 132.5, 91.8, 75.1, 100.0, 99.6, 111.0, 94.7, 98.4, 93.0, 100.0, 98.0, 111.6, 86.7, 93.7, 99.9, 100.2, 99.9, 100.7, 101.0, 100.0, 100.1, 100.0, 101.4, 104.7, 94.7, 98.5, 94.8, 99.1, 101.7, 106.8, 97.1, 106.0, 96.1, 100.0, 100.2, 117.7, 92.6, 100.0, 99.9, 94.8, 112.9, 98.3, 98.9, 94.5, 164.3, 99.4, 95.1, 99.1
 98.8, 110.7, 97.3, 97.7, 113.1, 95.0, 89.3, 92.3, 133.5, 91.8, 77.4, 100.4, 99.6, 111.0, 94.8, 98.4, 93.0, 100.0, 98.0, 111.6, 86.7, 93.7, 99.9, 100.2, 99.9, 100.7, 101.0, 100.0, 100.1, 100.0, 101.4, 104.7, 94.7, 98.5, 94.8, 99.1, 101.7, 106.8, 97.1, 106.0, 96.1, 100.0, 100.2, 117.7, 92.6, 100.0, 99.9, 94.8, 112.9, 98.3, 98.9, 94.5, 164.3, 99.4, 95.1, 99.1
